Year,Month,MEI,CO2,CH4,N2O,CFC-11,CFC-12,TSI,Aerosols,Temp
1983,5,2.556,345.96,1638.59,L,191.324,350.113,M,H,0.109
1983,6,2.167,345.52,1633.71,L,192.057,351.848,M,H,0.118
1983,7,1.741,344.15,1633.22,L,192.818,353.725,M,H,0.137
1983,8,1.13,,1631.35,L,193.602,355.633,M,H,0.176
1983,9,0.428,340.17,1648.4,L,194.392,357.465,M,H,0.149
1983,10,0.002,340.3,1663.79,L,195.171,359.174,M,H,0.093
1983,11,-0.176,341.53,1658.23,L,195.921,360.758,M,H,0.232
1983,12,-0.176,343.07,1654.31,L,196.609,362.174,M,H,0.078
1984,1,-0.339,344.05,1658.98,L,197.219,363.359,L,H,0.089
1984,2,-0.565,344.77,1656.48,L,197.759,364.296,L,H,0.013
1984,3,0.131,345.46,1655.77,L,198.249,365.044,M,H,0.049
1984,4,0.331,346.77,1657.68,L,198.723,365.692,L,H,-0.019
1984,5,0.121,347.55,1649.33,L,199.233,366.317,M,H,0.065
1984,6,-0.142,346.98,1634.13,L,199.858,367.029,,H,-0.016
1984,7,-0.138,345.55,1629.89,L,200.671,367.893,M,H,-0.024
1984,8,-0.179,343.2,1643.67,L,201.71,368.843,,H,0.034
1984,9,-0.082,341.35,1663.6,L,202.972,369.8,M,H,0.025
1984,10,0.016,,1674.65,L,204.407,370.782,,H,-0.035
1984,11,-0.351,343.06,1677.1,L,205.893,371.77,L,H,-0.123
1984,12,-0.611,346.78,1672.15,L,207.308,372.701,M,M,-0.282
1985,1,-0.561,,1663.42,L,208.537,373.623,L,M,-0.001
1985,2,-0.602,346.06,1666.21,H,209.543,374.681,L,M,-0.155
1985,3,-0.737,347.66,1678.34,L,210.368,376.004,L,M,-0.032
1985,4,-0.484,348.2,1675.24,L,211.111,377.635,L,M,-0.042
1985,5,-0.731,348.92,1666.83,L,211.823,379.539,L,M,0.001
1985,6,-0.088,348.4,1659.4,L,212.512,381.642,L,M,-0.049
1985,7,-0.156,346.66,1654.25,L,213.165,383.905,L,M,-0.042
1985,8,-0.392,,1654.41,L,213.803,386.223,L,M,0.013
1985,9,-0.541,343.2,1668.31,L,214.501,388.5,L,M,-0.035
1985,10,-0.14,343.08,1681.56,L,215.327,390.676,L,M,-0.008
1985,11,-0.05,344.4,1680.68,L,216.282,392.714,L,M,-0.093
1985,12,-0.293,345.82,1677.99,L,217.326,394.539,L,M,-0.002
1986,1,-0.307,346.54,1675.82,L,218.382,396.082,L,M,0.121
1986,2,-0.191,347.13,1666.83,L,219.379,397.345,L,M,0.065
1986,3,0.033,348.05,1672.87,L,220.315,398.41,L,M,0.049
1986,4,-0.169,349.77,1688.51,L,221.245,399.398,L,M,0.045
1986,5,0.305,350.53,1686.02,L,222.197,400.393,L,M,0.023
1986,6,0.311,349.9,1685.06,L,223.189,401.487,L,M,0.055
1986,7,0.384,348.11,1682.79,L,224.236,402.711,,M,0.004
1986,8,0.804,346.09,1670.57,L,225.302,404.06,L,M,-0.001
1986,9,1.166,345.01,1680.44,L,226.343,405.584,,M,0.016
1986,10,0.996,344.47,1697.71,L,227.325,407.328,L,M,0.043
1986,11,0.872,345.86,1692.49,L,228.224,409.211,L,M,-0.033
1986,12,1.183,347.15,1698.08,L,229.058,411.112,L,M,0.022
1987,1,1.237,348.38,1692.74,L,229.846,412.92,L,M,0.116
1987,2,1.185,348.7,1690.41,L,230.592,414.572,L,M,0.266
1987,3,1.724,349.72,1695.08,L,231.325,416.063,L,M,0.021
1987,4,1.938,351.32,1696.18,L,232.098,417.549,L,M,0.084
1987,5,2.122,352.14,1694.75,L,232.939,418.723,M,M,0.145
1987,6,1.904,351.61,1687.78,L,233.798,420.222,M,M,0.121
1987,7,1.847,349.91,1681.24,L,234.778,422.707,M,M,0.238
1987,8,1.951,347.84,1678.77,L,235.789,426.191,M,M,0.219
1987,9,1.835,346.52,1681.62,L,237.075,428.871,M,M,0.25
1987,10,1.61,346.65,1701.48,L,238.697,431.542,M,M,0.174
1987,11,1.253,347.96,1716.57,H,239.588,433.915,M,M,0.186
1987,12,1.251,,1708.14,L,240.058,436.0,M,M,0.314
1988,1,1.092,,1698.29,L,241.155,438.296,M,M,0.334
1988,2,0.665,351.68,1701.18,L,242.064,440.937,M,M,0.189
1988,3,0.456,352.24,1706.09,L,243.44,442.755,M,M,0.248
1988,4,0.307,353.66,1708.18,L,244.954,443.846,M,M,0.224
1988,1,0.085,359.56,1705.69,L,246.043,444.729,M,M,0.175
1988,6,-0.71,353.68,1699.06,L,246.338,445.352,M,M,0.2
1988,7,-1.174,352.58,1687.9,L,247.245,447.106,M,M,0.168
1988,8,-1.374,,1691.77,L,248.187,449.005,M,M,0.154
1988,9,-1.586,349.03,1701.35,L,249.389,451.255,M,M,0.149
1988,10,-0.984,349.08,1708.91,L,250.566,453.848,M,M,0.12
1988,11,-1.468,350.15,1719.88,L,251.664,456.226,M,M,0.027
1988,12,-1.343,351.44,1726.35,L,252.345,458.194,M,M,0.106
1989,1,-1.166,352.89,1721.48,L,252.554,459.549,H,M,0.019
1989,2,-1.312,353.24,1713.25,L,252.79,460.408,H,M,0.094
1989,3,-1.056,353.8,1715.68,L,253.161,461.292,M,M,0.088
1989,4,-0.842,355.59,1724.08,L,253.623,462.96,H,M,0.083
1989,5,-0.488,355.89,1724.93,L,253.699,463.964,H,M,0.073
1989,6,-0.273,355.3,1713.8,L,253.793,263.793,M,M,0.094
1989,7,-0.454,,1700.53,L,254.315,466.046,H,M,0.167
1989,1,-0.501,351.53,1707.22,H,255.528,468.631,H,M,0.168
1989,9,-0.28,350.02,1721.44,L,256.719,470.907,M,M,0.135
1989,10,-0.318,350.29,1722.42,L,257.946,472.912,H,M,0.145
1989,11,-0.066,351.44,1726.21,L,258.73,474.245,H,M,0.067
1989,12,0.142,352.84,1730.61,L,259.472,475.63,H,M,0.181
1990,1,0.234,353.79,1727.9,L,259.917,476.396,H,M,0.187
1990,2,0.532,354.88,1728.43,L,260.525,477.152,H,M,0.242
1990,3,0.916,355.65,1733.82,L,260.594,477.409,H,M,0.442
1990,4,0.393,356.28,1737.49,L,260.604,478.259,H,M,0.285
1990,5,0.602,357.29,1734.47,L,260.699,479.174,H,M,0.231
1990,6,0.389,356.32,1722.26,L,261.138,480.57,H,M,0.233
1990,7,0.084,354.89,1712.71,L,261.594,481.251,M,M,0.196
1990,8,0.123,,1788.45,L,262.342,482.685,M,M,0.227
1990,9,0.376,351.28,1733.81,H,263.107,484.643,H,M,0.179
1990,10,0.241,351.59,1736.9,L,263.616,486.334,H,M,0.271
1990,11,0.372,353.05,1741.42,L,264.455,487.528,M,M,0.278
1990,12,0.335,354.27,1674.25,L,265.182,488.674,M,M,0.199
1991,1,0.309,354.87,1734.82,L,265.709,489.664,M,M,0.224
1991,2,0.31,355.68,1730.98,L,266.008,490.433,M,M,0.272
1991,3,0.393,357.06,1746.52,L,265.86,491.114,H,M,0.161
1991,4,0.444,358.51,1749.54,L,265.876,491.634,H,M,0.299
1991,5,0.719,359.09,1747.24,L,265.784,491.15,M,M,0.249
1991,6,1.163,358.1,1739.98,L,267.329,492.105,M,M,0.269
1991,7,1.011,356.12,1730.94,L,267.25,493.348,H,H,0.271
1991,8,1.012,353.89,1644.32,L,266.54,493.929,M,H,0.225
1991,9,0.737,352.3,1734.55,L,265.986,495.096,H,H,0.176
1991,10,1.017,352.32,1708.76,L,266.846,496.798,M,H,0.133
1991,11,1.202,353.79,1750.27,L,267.752,497.967,H,H,0.079
1991,12,1.32,355.07,1752.37,L,267.859,498.083,M,H,0.084
1992,1,1.75,356.17,1755.57,L,268.05,499.467,H,H,0.266
1992,2,1.871,356.93,1750.02,L,268.274,501.644,M,H,0.25
1992,3,1.992,357.82,1752.39,L,268.477,502.436,H,H,0.199
1992,4,2.371,359.0,1753.24,L,268.387,502.811,H,H,0.132
1992,5,2.13,359.55,1744.48,L,268.65,504.226,M,H,0.125
1992,6,1.714,359.32,1735.3,H,269.014,505.101,M,H,0.118
1992,7,0.946,356.85,1736.28,L,269.483,505.671,M,H,-0.008
1992,8,0.536,354.91,1725.65,L,269.912,507.207,M,H,-0.007
1992,9,0.512,352.93,1729.78,L,270.497,508.52,M,H,-0.062
1992,10,0.669,353.31,1740.76,L,270.765,508.614,M,H,-0.072
1992,11,0.602,354.27,1755.29,L,270.886,280.886,M,H,-0.097
1992,12,0.644,355.53,1758.32,L,271.057,509.265,M,H,0.007
1993,1,0.699,356.86,1747.82,L,271.193,509.232,M,H,0.204
1993,2,0.999,357.27,1745.64,L,270.814,509.287,M,H,0.161
1993,3,0.979,358.36,1747.95,L,270.154,509.218,M,H,0.202
1993,4,1.388,359.27,1746.7,L,269.914,509.453,M,H,0.121
1993,5,1.987,360.19,1749.5,L,270.53,510.264,M,H,0.158
1993,6,1.459,359.52,1745.54,L,270.92,511.74,M,H,0.122
1993,7,1.09,357.42,1731.92,L,270.46,513.309,M,H,0.088
1993,8,1.003,355.46,1647.37,L,270.194,513.715,M,H,0.06
1993,9,0.982,354.1,1744.46,L,270.685,513.455,M,H,0.013
1993,10,1.078,354.12,1760.21,L,271.216,513.602,L,H,0.061
1993,11,0.834,355.4,1767.99,L,271.339,514.557,,H,-0.041
1993,12,0.562,356.84,1763.5,L,271.494,514.616,M,H,0.111
1994,1,0.338,358.22,1759.84,L,271.238,514.991,L,H,0.16
1994,2,0.192,358.98,1752.06,L,270.9,515.387,,H,-0.072
1994,3,0.159,359.91,1754.63,L,270.676,515.302,M,H,0.176
1994,4,0.423,361.32,1763.75,L,270.924,515.243,M,H,0.173
1994,5,0.521,361.68,1755.04,L,270.691,280.691,M,H,0.218
1994,6,0.734,360.8,1746.61,L,270.516,280.516,M,M,0.191
1994,7,0.823,359.39,1737.42,L,270.85,517.172,M,M,0.141
1994,8,0.743,357.42,1733.9,L,271.228,517.716,M,M,0.175
1994,9,0.88,355.63,1757.14,L,271.042,518.274,L,M,0.156
1994,10,1.433,356.09,1778.6,L,270.928,519.545,L,M,0.23
1994,11,1.278,357.56,1781.02,L,271.087,520.879,M,M,0.248
1994,12,1.184,358.87,1779.12,L,270.807,521.311,L,M,0.227
1995,1,1.2,359.87,1764.33,L,270.435,521.54,M,M,0.349
1995,2,0.961,360.79,1756.89,L,270.304,521.752,M,M,0.449
1995,3,0.862,361.77,1764.65,L,270.098,522.426,L,M,0.286
1995,4,0.419,363.23,1762.72,L,269.861,523.229,L,M,0.229
1995,5,0.494,363.77,1761.94,L,269.941,523.768,L,M,0.176
1995,6,0.454,,1759.03,L,269.873,523.966,L,M,0.283
1995,7,0.182,361.7,1749.21,L,269.636,524.878,L,M,0.276
1995,8,-0.197,359.11,1750.94,L,269.661,525.647,L,M,0.305
1995,9,-0.468,358.11,1761.26,L,269.792,525.989,L,M,0.21
1995,10,-0.487,357.97,1768.73,L,269.799,526.535,L,M,0.241
1995,11,-0.495,,1849.81,L,269.967,527.047,L,M,0.266
1995,12,-0.572,360.61,1772.75,L,269.981,527.476,L,M,0.163
1996,1,-0.644,362.04,1771.15,L,269.579,528.077,L,M,0.069
1996,2,-0.595,363.17,1770.25,L,269.384,528.897,L,M,0.246
1996,3,-0.264,364.17,1769.7,L,269.482,528.589,L,M,0.13
1996,4,-0.505,364.51,1758.89,L,269.61,528.263,L,M,0.097
1996,5,-0.178,365.16,1754.78,L,269.456,528.449,L,M,0.177
1996,6,-0.001,364.93,1753.6,L,269.163,528.67,L,M,0.159
1996,7,-0.208,363.53,1828.99,L,268.803,528.804,L,M,0.177
1996,8,-0.396,361.38,1745.36,L,268.982,529.492,L,M,0.178
1996,9,-0.476,359.6,1766.96,L,268.964,530.227,L,M,0.093
1996,10,-0.387,342.92,1774.5,L,268.728,530.837,L,M,0.089
1996,11,-0.161,360.84,1714.04,L,268.673,531.628,L,M,0.077
1996,12,-0.338,362.18,1772.83,L,268.872,532.22,,M,0.172
1997,1,-0.487,363.04,1769.9,L,268.715,532.302,L,M,0.156
1997,2,-0.607,364.09,1768.98,L,268.491,532.387,L,M,0.247
1997,3,-0.254,364.47,1776.07,L,268.388,532.452,L,M,0.262
1997,4,0.493,366.25,1780.96,L,268.151,532.257,L,M,0.201
1997,5,1.119,366.69,1776.67,L,268.078,532.311,L,M,0.254
1997,6,2.307,365.59,1768.27,H,268.026,532.575,L,M,0.367
1997,7,2.756,364.34,1751.61,L,267.784,532.827,L,M,0.372
1997,8,3.001,362.2,1750.23,L,267.441,533.315,M,M,0.406
1997,9,3.0,360.31,1775.56,L,267.414,534.415,L,M,0.457
1997,10,2.358,360.71,1784.8,L,267.469,535.205,,M,0.485
1997,11,2.518,362.44,1783.94,L,267.495,535.405,M,M,0.449
1997,12,2.32,364.33,1783.14,L,267.368,535.373,M,M,0.526
1998,1,2.483,365.18,1772.15,L,267.19,535.465,M,M,0.486
1998,2,2.777,365.98,1766.01,L,266.978,535.561,M,L,0.739
1998,3,2.748,367.13,1774.54,L,266.593,535.421,,L,0.52
1998,4,2.673,368.61,1780.3,L,266.054,535.409,M,L,0.608
1998,5,2.169,369.49,1781.02,L,265.841,535.766,M,L,0.57
1998,6,1.129,368.95,1779.0,L,265.668,536.123,M,L,0.579
1998,7,0.285,367.74,1762.46,L,265.787,536.151,M,L,0.651
1998,8,-0.41,365.79,1757.06,L,265.784,536.489,M,L,0.616
1998,9,-0.667,364.01,1771.02,L,265.911,537.326,M,L,0.4
1998,10,-0.849,364.35,1787.32,L,266.395,538.583,M,L,0.409
1998,11,-1.17,365.52,1798.26,L,266.352,538.473,,L,0.342
1998,12,-1.012,367.08,1718.73,L,266.247,538.66,M,L,0.424
1999,1,-1.149,368.12,1796.25,L,266.016,538.872,M,L,0.366
1999,2,-1.238,368.98,1784.64,L,265.701,538.971,,L,0.54
1999,3,-1.068,369.6,1788.08,L,265.343,539.005,M,L,0.29
1999,4,-1.026,370.96,1788.27,L,265.111,538.895,M,L,0.322
1999,5,-0.681,370.77,1773.11,L,264.811,539.015,M,L,0.248
1999,6,-0.42,370.33,1771.39,L,264.479,538.912,M,L,0.266
1999,7,-0.465,369.28,1767.43,L,264.296,539.103,M,L,0.282
1999,8,-0.787,366.86,1768.99,L,264.182,539.311,M,L,0.253
1999,9,-1.004,364.94,1786.22,L,264.14,539.685,H,L,0.274
1999,10,-1.011,365.35,1794.88,L,264.181,539.952,M,L,0.241
1999,11,-1.079,366.68,1796.88,L,264.266,540.312,M,L,0.223
1999,12,-1.207,368.04,1802.26,L,264.212,540.749,M,L,0.338
2000,1,-1.197,369.25,1802.45,L,264.074,541.045,H,L,0.212
2000,2,-1.246,369.5,1794.21,L,263.832,540.971,H,L,0.363
2000,3,-1.138,,1792.32,L,263.473,540.729,M,L,0.334
