Date,Emp_ID,Age,Gender,City,Education,Salary,Join_Date,Last_Work_Date,Join_Designation,Designation,Total_Sales_Acquired,Quarterly_Rating
1/3/2016,1.0,28,Male,C23,Master,57387,24/12/2015,11/3/2016,1,1,1715580,2
1/12/2017,2.0,31,Male,C7,Master,67016,6/11/2017,,2,2,0,1
1/4/2017,4.0,43,Male,C13,Master,65603,7/12/2016,27/4/2017,2,2,350000,1
1/3/2016,5.0,29,Male,C9,College,46368,9/1/2016,7/3/2016,1,1,120360,1
1/12/2017,6.0,31,Female,C11,Bachelor,78728,31/7/2017,,3,3,1265000,2
1/11/2017,8.0,34,Male,C2,College,70656,19/9/2017,15/11/2017,3,3,0,1
1/12/2017,11.0,28,Female,C19,Master,42172,7/12/2017,,1,1,0,1
1/12/2016,12.0,35,Male,C23,Master,28116,29/6/2016,21/12/2016,1,1,2607180,1
1/11/2017,13.0,31,Male,C19,Master,119227,28/5/2012,25/11/2017,1,4,10213040,1
1/12/2017,14.0,39,Female,C26,College,19734,16/10/2017,,3,3,0,1
1/2/2016,16.0,30,Female,C23,College,52963,30/11/2015,22/2/2016,2,2,346800,1
1/7/2016,17.0,43,Male,C20,Master,51099,6/3/2015,20/7/2016,1,1,1017640,1
1/5/2016,18.0,27,Female,C17,Bachelor,31631,9/1/2016,30/4/2016,1,1,0,1
1/3/2017,20.0,26,,C19,College,40342,25/10/2016,1/3/2017,3,3,0,1
1/2/2017,21.0,34,Female,C29,Bachelor,22755,12/5/2015,17/2/2017,1,1,6962550,1
1/4/2017,22.0,41,Male,C10,Master,31224,25/5/2015,26/4/2017,1,1,7539490,1
1/10/2016,24.0,31,Male,C24,Master,76308,25/5/2015,27/10/2016,1,2,4101720,2
1/12/2017,25.0,32,Male,C24,Bachelor,102077,30/10/2014,,1,3,36351110,4
1/12/2017,26.0,43,Male,C14,Master,132577,7/5/2015,,1,4,69867900,2
1/5/2016,29.0,31,Male,C13,Master,30312,20/5/2015,23/5/2016,1,1,1273170,1
1/12/2016,30.0,31,Male,C6,Bachelor,69457,3/10/2016,29/11/2016,3,3,0,1
1/12/2017,31.0,32,Female,C28,Master,65189,4/7/2017,,3,3,950940,2
1/11/2017,34.0,28,,C14,Bachelor,65813,31/7/2017,14/11/2017,2,2,476010,1
1/5/2017,35.0,32,Male,C5,Bachelor,68070,7/3/2017,5/5/2017,3,3,300000,1
1/8/2017,36.0,41,,C18,Bachelor,32865,1/7/2016,29/7/2017,2,2,4277730,2
1/10/2017,,33,Female,C14,Bachelor,57375,16/5/2017,16/10/2017,2,2,650020,1
1/3/2017,38.0,22,Male,C27,College,13427,6/12/2016,15/3/2017,1,1,0,1
1/12/2017,39.0,32,Male,C26,College,72888,8/8/2017,,2,2,2422230,2
1/2/2017,40.0,33,Male,C15,College,59182,8/11/2016,14/2/2017,2,2,0,1
1/12/2017,41.0,35,Male,C29,Master,92372,4/7/2016,,4,4,21755910,2
1/5/2016,42.0,44,Female,C28,College,45988,20/10/2015,16/5/2016,2,2,994690,1
1/2/2016,43.0,27,Female,C15,College,12906,13/7/2015,20/2/2016,1,1,359890,1
1/11/2017,44.0,28,Male,C17,Master,62100,25/9/2017,24/11/2017,1,1,150110,1
1/12/2017,45.0,35,Male,C8,Master,77544,29/5/2017,,3,3,5227340,3
1/3/2016,46.0,36,Female,C25,Master,42171,28/10/2015,27/2/2016,1,1,338290,1
1/12/2017,47.0,30,,C21,Bachelor,28000,9/10/2017,,1,1,866270,2
1/1/2017,49.0,22,Male,C20,College,53039,25/5/2015,21/1/2017,1,2,1798800,1
1/2/2016,50.0,47,,C5,College,89367,20/11/2015,20/2/2016,3,3,110310,1
1/12/2016,51.0,34,Male,C14,College,131347,22/5/2014,23/12/2016,4,4,3190010,2
1/12/2017,52.0,37,Male,C19,College,48687,28/6/2017,,3,3,1852590,2
1/12/2017,54.0,35,Male,C29,Bachelor,127826,11/7/2016,,4,5,33823290,1
1/3/2017,55.0,30,Female,C8,College,29985,21/11/2016,15/3/2017,1,1,0,1
1/12/2017,56.0,36,Female,C19,Master,80223,20/7/2015,,1,1,11723470,4
1/7/2017,57.0,38,Female,C1,Bachelor,84318,26/7/2014,21/7/2017,1,2,22791310,1
1/1/2016,58.0,41,Male,C4,College,57987,15/10/2015,25/1/2016,2,2,0,1
1/3/2016,59.0,35,Female,C18,Bachelor,31644,6/1/2016,28/3/2016,1,1,134660,1
1/12/2017,60.0,48,Female,C20,College,89592,17/9/2013,,1,4,49225520,2
1/3/2016,61.0,32,Male,C11,Master,19818,4/5/2015,17/3/2016,1,1,-439300,1
1/12/2017,62.0,27,Male,C9,Master,62376,28/11/2017,,1,1,0,1
1/12/2017,63.0,28,Male,C6,College,93931,30/4/2013,,1,3,12293120,2
1/6/2017,64.0,33,Male,C27,Master,66502,31/1/2017,19/6/2017,2,2,193940,1
1/6/2017,65.0,30,Female,C7,Bachelor,69539,31/7/2015,16/6/2017,2,2,11718580,2
1/2/2017,66.0,27,,C4,Master,104286,21/1/2017,,3,3,0,1
1/12/2017,67.0,41,Male,C28,Master,65982,4/1/2016,,1,2,12543500,3
1/12/2017,68.0,32,Male,C29,College,79288,18/10/2012,,1,3,27309820,3
1/9/2017,69.0,32,Female,C7,Bachelor,64604,14/11/2016,12/9/2017,2,2,4640080,1
1/1/2016,70.0,35,,C20,Bachelor,19235,8/10/2015,29/1/2016,1,1,0,1
1/2/2016,,43,Male,C20,Master,54103,25/5/2015,15/2/2016,3,3,188780,1
1/12/2017,72.0,28,Male,C14,Master,42242,18/10/2017,,2,2,193580,1
1/10/2017,74.0,35,Female,C5,Master,59216,1/5/2017,24/10/2017,2,2,592270,1
1/12/2017,75.0,25,Female,C18,Master,39884,21/7/2017,13/12/2017,2,2,2365930,2
1/12/2017,77.0,34,Male,C3,Master,63918,18/5/2015,,1,2,17959920,3
1/12/2017,78.0,37,Male,C21,College,105946,16/9/2015,,2,4,43531510,2
1/8/2016,79.0,32,Male,C14,Bachelor,114648,9/7/2016,9/8/2016,4,4,0,1
1/12/2017,80.0,29,Female,C7,College,56687,2/10/2017,,2,2,153300,1
1/10/2016,81.0,39,Male,C9,Master,77177,12/6/2015,4/10/2016,1,2,3133680,1
1/8/2017,82.0,37,Female,C24,Bachelor,89013,11/4/2017,29/7/2017,3,3,0,1
1/6/2017,83.0,34,Male,C23,Master,115159,29/8/2016,7/6/2017,3,3,750000,1
1/9/2017,,42,Male,C16,College,25950,4/7/2016,4/9/2017,1,1,8688020,2
1/12/2017,85.0,25,Male,C22,Master,49509,28/9/2017,,1,1,0,1
1/1/2016,86.0,35,Male,C2,Master,49510,28/5/2015,27/1/2016,1,1,0,1
1/12/2017,87.0,37,,C6,Bachelor,119341,31/8/2016,,3,3,36029220,4
1/6/2016,88.0,45,Female,C3,College,62298,6/1/2015,3/6/2016,2,2,3248870,1
1/8/2017,89.0,28,Male,C2,Bachelor,58977,30/5/2016,29/7/2017,2,2,6131430,1
1/3/2017,90.0,33,Male,C22,College,29408,11/11/2016,10/3/2017,2,2,543640,1
1/12/2016,91.0,31,Male,C21,College,22731,3/8/2016,15/12/2016,2,2,200000,1
1/2/2016,93.0,30,Male,C17,Master,39527,14/7/2015,3/2/2016,2,2,1220120,2
